time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T19:47:33.120Z,19.3248329,-155.1093292,5.98,1.79,md,30,164,0.04302,0.21,hv,hv61614256,2017-02-20T19:50:47.770Z,"17km SE of Volcano, Hawaii",earthquake,0.5,0.64,0.26,8,automatic,hv,hv
2017-02-20T19:35:48.230Z,8.292,-79.2535,15.87,4.7,mb,,85,1.043,0.91,us,us20008ky6,2017-02-20T21:54:35.183Z,"73km ESE of Nueva Gorgona, Panama",earthquake,6.9,4.9,0.034,266,reviewed,us,us
2017-02-20T19:34:03.560Z,19.3926659,-155.2776642,2,2.28,ml,29,55,0.004651,0.22,hv,hv61614251,2017-02-20T19:39:41.840Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.21,0.27,12,automatic,hv,hv
2017-02-20T19:25:18.800Z,55.4635,163.5957,10,4.9,mb,,87,3.794,0.92,us,us20008ky4,2017-02-20T20:46:14.040Z,"110km SE of Ust'-Kamchatsk Staryy, Russia",earthquake,8.9,1.8,0.035,251,reviewed,us,us
2017-02-20T19:00:57.641Z,65.2259,-149.8237,4.2,1.7,ml,,,,0.74,ak,ak15316002,2017-02-20T19:22:25.160Z,"45km NE of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T18:31:57.010Z,33.4901667,-116.5703333,5.8,0.6,ml,23,120,0.02701,0.11,ci,ci37586415,2017-02-20T18:35:30.834Z,"12km SE of Anza, CA",earthquake,0.24,0.38,0.175,18,automatic,ci,ci
2017-02-20T18:16:14.090Z,33.8201667,-117.485,1.2,1.47,ml,36,50,0.03341,0.23,ci,ci37586407,2017-02-20T18:19:53.150Z,"7km SSE of Home Gardens, CA",quarry blast,0.33,0.5,0.213,29,automatic,ci,ci
2017-02-20T17:56:07.941Z,65.264,-150.0039,2.9,3.8,ml,,,,0.76,ak,ak15315292,2017-02-20T19:53:13.994Z,"41km NE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-20T17:37:44.710Z,38.8348351,-122.7771683,-0.74,1.01,md,7,226,0.01332,0.13,nc,nc72765936,2017-02-20T17:53:01.625Z,"4km WNW of Cobb, California",earthquake,1.16,4.77,0.01,3,automatic,nc,nc
2017-02-20T17:19:26.851Z,58.5074,-136.9725,0,2.2,ml,,,,0.62,ak,ak15315286,2017-02-20T17:27:41.068Z,"72km W of Gustavus, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-20T16:17:39.215Z,62.4323,-139.1871,5.4,3.7,ml,,,,0.6,ak,ak15315263,2017-02-20T17:38:15.637Z,"182km S of Dawson, Canada",earthquake,,0.3,,,reviewed,ak,ak
2017-02-20T15:23:13.520Z,34.3115,-118.2855,12.63,1.47,ml,13,99,0.07032,0.14,ci,ci37586383,2017-02-20T15:26:56.083Z,"6km NNE of Sunland, CA",earthquake,0.43,0.72,0.279,24,automatic,ci,ci
2017-02-20T14:59:06.810Z,-5.0203,153.5874,57.29,5,mb,,99,1.64,0.52,us,us20008kwg,2017-02-20T16:00:24.040Z,"86km SE of Taron, Papua New Guinea",earthquake,8.9,7.1,0.059,92,reviewed,us,us
2017-02-20T14:51:46.120Z,34.3881667,-116.4561667,7.06,1.47,ml,24,75,0.1141,0.21,ci,ci37586367,2017-02-20T14:55:15.013Z,"30km N of Yucca Valley, CA",earthquake,0.35,1.36,0.155,27,automatic,ci,ci
2017-02-20T14:44:57.199Z,38.3729,-118.923,5.8,0.9,ml,7,125.64,0.329,0.0578,nn,nn00579275,2017-02-20T19:31:13.989Z,"29km ENE of Bridgeport, California",earthquake,,8.5,0.05,2,reviewed,nn,nn
2017-02-20T14:44:14.855Z,63.0988,-150.403,100.2,1.9,ml,,,,0.67,ak,ak15313942,2017-02-20T14:59:14.812Z,"79km WSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-02-20T14:26:16.508Z,38.4041,-118.9189,13.4,0.9,ml,7,126.29,0.358,0.0761,nn,nn00579272,2017-02-20T19:15:45.209Z,"28km WSW of Hawthorne, Nevada",earthquake,,19.5,0.1,2,reviewed,nn,nn
2017-02-20T14:21:03.610Z,35.9220009,-120.4725037,4.97,2.33,md,21,115,0.03538,0.05,nc,nc72765911,2017-02-20T14:30:03.547Z,"26km SSW of Coalinga, California",earthquake,0.24,0.35,0.15,18,automatic,nc,nc
2017-02-20T14:15:07.720Z,37.6201668,-118.8174973,14.15,1.39,md,14,162,0.02299,0.37,nc,nc72765906,2017-02-20T14:30:03.151Z,"14km ESE of Mammoth Lakes, California",earthquake,3.26,4.04,0.09,11,automatic,nc,nc
2017-02-20T13:41:01.260Z,37.8276,-116.1958,10,1.8,ml,20,111.3,0.399,0.2622,nn,nn00579241,2017-02-20T14:39:31.356Z,"43km SSE of Warm Springs, Nevada",earthquake,,3.9,0.23,12,reviewed,nn,nn
2017-02-20T13:29:54.160Z,-37.5277,-73.8236,30.52,4.3,mb,,134,0.928,0.62,us,us20008kwc,2017-02-20T14:47:51.040Z,"18km WNW of Lebu, Chile",earthquake,6.4,6.9,0.137,15,reviewed,us,us
2017-02-20T13:12:43.057Z,61.042,-146.6114,12.5,1.6,ml,,,,0.75,ak,ak15313935,2017-02-20T13:20:01.668Z,"17km SW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T13:09:26.780Z,38.8074989,-122.8438339,6.83,1.34,md,11,97,0.01153,0.27,nc,nc72765901,2017-02-20T13:45:03.035Z,"8km WNW of The Geysers, California",earthquake,1.84,2.55,0.21,4,automatic,nc,nc
2017-02-20T13:08:00.450Z,36.0093346,-120.5589981,3.85,1.32,md,11,115,0.01815,0.03,nc,nc72765896,2017-02-20T13:33:03.011Z,"23km SW of Coalinga, California",earthquake,0.63,0.78,0.19,6,automatic,nc,nc
2017-02-20T12:58:09.938Z,64.2137,-147.432,4,1.1,ml,,,,0.61,ak,ak15313930,2017-02-20T13:06:29.060Z,"43km SW of Salcha, Alaska",earthquake,,1,,,automatic,ak,ak
2017-02-20T12:46:35.882Z,62.9984,-151.3717,11.7,1.3,ml,,,,0.74,ak,ak15313928,2017-02-20T12:54:29.514Z,"99km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T12:39:23.700Z,18.5596,-67.426,20,2.7,Md,7,266.4,0.18145969,0.28,pr,pr17051006,2017-02-20T15:58:46.553Z,"30km NW of Rincon, Puerto Rico",earthquake,1.7,3.5,0,4,reviewed,pr,pr
2017-02-20T12:11:16.359Z,60.1001,-136.8537,0,2,ml,,,,0.32,ak,ak15313926,2017-02-20T12:20:53.590Z,"81km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2017-02-20T11:55:53.456Z,63.048,-151.5127,11.8,1.5,ml,,,,0.24,ak,ak15313922,2017-02-20T12:09:14.139Z,"108km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T11:17:37.690Z,37.6958351,-122.1126633,10.21,1.26,md,10,120,0.02876,0.07,nc,nc72765881,2017-02-20T11:34:02.768Z,"0km NE of Ashland, California",earthquake,0.54,1.02,0.11,8,automatic,nc,nc
2017-02-20T11:09:32.908Z,37.074,-117.7946,15.3,0.5,ml,5,214.66,0.198,0.127,nn,nn00579266,2017-02-20T18:54:08.546Z,"45km ESE of Big Pine, California",earthquake,,11.4,0,1,reviewed,nn,nn
2017-02-20T11:05:31.082Z,63.0538,-151.4851,2.9,1.7,ml,,,,0.43,ak,ak15313919,2017-02-20T11:19:12.143Z,"107km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T11:01:48.822Z,63.0156,-151.4652,11.1,1.4,ml,,,,0.63,ak,ak15313917,2017-02-20T11:19:12.394Z,"103km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T10:57:52.448Z,63.0666,-151.5346,0.1,2.2,ml,,,,0.7,ak,ak15313912,2017-02-20T11:09:05.277Z,"110km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-20T10:54:29.645Z,60.1255,-152.0906,57.1,1.3,ml,,,,0.33,ak,ak15313911,2017-02-20T11:03:45.636Z,"41km NNW of Anchor Point, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-02-20T10:46:08.640Z,33.6838333,-117.403,13.39,1.1,ml,23,58,0.03964,0.19,ci,ci37586343,2017-02-20T10:49:48.698Z,"7km WNW of Lake Elsinore, CA",earthquake,0.37,0.61,0.239,28,automatic,ci,ci
2017-02-20T10:14:13.470Z,34.1213333,-116.9251667,5.96,0.86,ml,17,89,0.0291,0.16,ci,ci37586335,2017-02-20T10:17:36.073Z,"14km S of Big Bear Lake, CA",earthquake,0.3,0.54,0.135,24,automatic,ci,ci
2017-02-20T10:14:06.820Z,38.8468323,-122.831337,-0.75,0.32,md,6,116,0.02772,0.07,nc,nc72765876,2017-02-20T10:30:03.598Z,"9km WNW of Cobb, California",earthquake,0.29,1.61,0.04,2,automatic,nc,nc
2017-02-20T10:12:11.367Z,63.5296,-147.7787,1.8,1.7,ml,,,,0.74,ak,ak15313899,2017-02-20T10:21:26.483Z,"60km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T09:46:54.300Z,18.1625,-64.8955,17,2,Md,3,230.4,0.39525873,0.17,pr,pr17051005,2017-02-20T12:34:11.124Z,"20km S of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.8,1.8,0,2,reviewed,pr,pr
2017-02-20T09:39:54.420Z,38.8223343,-122.8539963,2.55,1.5,md,6,136,0.01484,0.01,nc,nc72765866,2017-02-20T10:11:03.540Z,"9km WNW of The Geysers, California",earthquake,0.77,1.16,,1,automatic,nc,nc
2017-02-20T09:17:35.510Z,36.071,-117.6475,2.34,0.97,ml,11,102,0.1058,0.1,ci,ci37586327,2017-02-20T09:20:58.883Z,"27km E of Coso Junction, CA",earthquake,0.25,1.73,0.195,10,automatic,ci,ci
2017-02-20T09:16:53.130Z,19.9988327,-155.5753326,36.31,2.4,md,31,155,0.1189,0.15,hv,hv61613826,2017-02-20T09:20:15.590Z,"10km ESE of Waimea, Hawaii",earthquake,0.62,0.78,0.62,3,automatic,hv,hv
2017-02-20T09:08:59.840Z,36.0716667,-117.6493333,1.87,0.81,ml,10,102,0.1048,0.1,ci,ci37586319,2017-02-20T09:12:39.710Z,"27km E of Coso Junction, CA",earthquake,0.23,0.36,0.249,6,automatic,ci,ci
2017-02-20T09:06:23.960Z,38.8441658,-122.8253326,1.71,0.69,md,7,130,0.00969,0.01,nc,nc72765846,2017-02-20T09:42:02.483Z,"9km WNW of Cobb, California",earthquake,0.65,0.9,0.28,2,automatic,nc,nc
2017-02-20T09:00:47.300Z,38.8463326,-122.7913361,2.15,1.08,md,6,175,0.02609,0.08,nc,nc72765841,2017-02-20T09:31:02.463Z,"6km WNW of Cobb, California",earthquake,0.76,2.6,0.04,2,automatic,nc,nc
2017-02-20T08:51:59.390Z,38.8373337,-122.8300018,1.57,0.33,md,6,124,0.004463,0.01,nc,nc72765836,2017-02-20T09:19:01.422Z,"9km W of Cobb, California",earthquake,0.61,0.77,0.03,2,automatic,nc,nc
2017-02-20T08:51:15.950Z,37.6161652,-122.4641647,6.62,1.55,md,11,112,0.02263,0.04,nc,nc72765831,2017-02-20T09:08:02.417Z,"2km E of Pacifica, California",earthquake,0.38,0.48,0.1,6,automatic,nc,nc
2017-02-20T08:47:46.800Z,37.4393349,-118.8560028,1.22,2.32,md,30,140,0.1519,0.04,nc,nc72765826,2017-02-20T16:50:22.585Z,"25km SSE of Mammoth Lakes, California",earthquake,0.25,1.48,0.23,27,automatic,nc,nc
2017-02-20T08:40:57.131Z,36.6964,-116.3179,8.6,-0.1,ml,13,76.4,0.054,0.1451,nn,nn00579263,2017-02-20T18:41:44.831Z,"45km ESE of Beatty, Nevada",earthquake,,1.7,0.33,4,reviewed,nn,nn
2017-02-20T08:35:06.070Z,38.8440018,-122.8266678,1.83,0.28,md,6,191,0.008755,0.01,nc,nc72765821,2017-02-20T08:51:03.368Z,"9km WNW of Cobb, California",earthquake,0.56,0.96,,1,automatic,nc,nc
2017-02-20T08:27:31.850Z,33.9153333,-118.9716667,0.85,2.17,ml,27,140,0.1633,0.3,ci,ci37586303,2017-02-20T08:31:22.927Z,"18km WSW of Malibu, CA",earthquake,0.63,31.61,0.147,28,automatic,ci,ci
2017-02-20T08:13:04.825Z,59.7297,-152.3284,88.5,1.7,ml,,,,0.38,ak,ak15313890,2017-02-20T08:22:21.468Z,"28km W of Anchor Point, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-02-20T08:12:28.713Z,65.3567,-144.7451,0.4,1.4,ml,,,,0.86,ak,ak15313894,2017-02-20T08:22:21.727Z,"12km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T08:07:02.660Z,33.5071667,-116.7925,4.71,0.43,ml,18,73,0.07416,0.09,ci,ci37586287,2017-02-20T08:10:29.392Z,"10km NE of Aguanga, CA",earthquake,0.19,0.41,0.044,12,automatic,ci,ci
2017-02-20T07:53:06.260Z,-37.595,178.8068,32.16,4.9,mb,,255,0.398,0.91,us,us20008kvk,2017-02-20T15:55:44.948Z,"136km NNE of Gisborne, New Zealand",earthquake,11.3,8.9,0.11,26,reviewed,us,us
2017-02-20T07:51:27.170Z,38.8025017,-122.7683334,0.38,0.53,md,7,127,0.01791,0.01,nc,nc72765796,2017-02-20T08:07:03.303Z,"2km NNW of The Geysers, California",earthquake,0.59,1.8,0.04,2,automatic,nc,nc
2017-02-20T07:45:10.150Z,-5.2197,-74.9708,10,5.4,mb,,84,3.359,1.3,us,us20008kvi,2017-02-20T08:04:42.318Z,"78km E of Lagunas, Peru",earthquake,6.1,1.7,0.023,638,reviewed,us,us
2017-02-20T07:22:46.570Z,34.2893333,-117.7118333,25.56,1.33,ml,8,92,0.06698,0.17,ci,ci37586263,2017-02-20T07:26:28.514Z,"11km SW of Wrightwood, CA",earthquake,0.92,1.87,0.467,22,automatic,ci,ci
2017-02-20T07:21:00.993Z,37.8461,-116.1842,0.3,0.8,ml,11,117.02,0.4,0.0703,nn,nn00579225,2017-02-20T17:57:51.363Z,"41km SSE of Warm Springs, Nevada",earthquake,,1.7,0.29,5,reviewed,nn,nn
2017-02-20T07:18:09.320Z,47.8723333,-114.2878333,2.82,3.37,ml,24,77,0.126,0.2,mb,mb80199834,2017-02-20T21:53:43.398Z,"17km SSW of Lakeside, Montana",earthquake,0.39,0.79,0.277,23,reviewed,mb,mb
2017-02-20T07:12:36.200Z,18.2306,-67.4186,29,3,Md,17,212.4,0.16349338,0.31,pr,pr17051004,2017-02-20T08:51:58.290Z,"20km WSW of Stella, Puerto Rico",earthquake,1.2,1.9,0,16,reviewed,pr,pr
2017-02-20T07:05:32.260Z,19.5594997,-155.9584961,14.75,1.83,md,9,238,0.06962,0.14,hv,hv61613621,2017-02-20T07:08:34.490Z,"1km SSE of Kahaluu-Keauhou, Hawaii",earthquake,0.97,0.4,0.05,5,automatic,hv,hv
2017-02-20T06:50:49.155Z,38.3967,-118.8985,10.5,1.3,ml,10,108.9,0.342,0.1618,nn,nn00579258,2017-02-20T18:22:53.125Z,"27km WSW of Hawthorne, Nevada",earthquake,,7,0.27,2,reviewed,nn,nn
2017-02-20T06:46:09.850Z,37.6609993,-118.8971634,-0.21,1.58,md,8,146,0.04996,0.37,nc,nc72765781,2017-02-20T07:38:02.210Z,"6km ENE of Mammoth Lakes, California",earthquake,2.04,16.24,0.21,7,automatic,nc,nc
2017-02-20T06:21:31.139Z,38.0431,-118.8183,5.6,1.2,ml,9,182.21,0.036,0.1569,nn,nn00579222,2017-02-20T17:45:25.368Z,"43km ESE of Bridgeport, California",earthquake,,2.7,0.29,2,reviewed,nn,nn
2017-02-20T06:20:03.156Z,63.5467,-150.7982,0.2,1.2,ml,,,,0.3,ak,ak15313219,2017-02-20T06:37:20.800Z,"93km WNW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T06:10:36.880Z,2.3783,95.2852,25.5,5,mb,,150,2.525,0.5,us,us20008kva,2017-02-20T06:25:41.040Z,"122km W of Sinabang, Indonesia",earthquake,6.3,5.8,0.092,38,reviewed,us,us
2017-02-20T06:10:03.309Z,56.3693,-156.5844,0,2.5,ml,,,,0.68,ak,ak15313217,2017-02-20T06:15:14.969Z,"85km NW of Chirikof Island, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-02-20T06:06:16.120Z,36.392,-89.5908333,11.42,1.27,md,16,55,0.01267,0.02,nm,nm60176536,2017-02-20T14:35:13.900Z,"10km W of Tiptonville, Tennessee",earthquake,0.49,0.59,0.06,8,reviewed,nm,nm
2017-02-20T06:00:57.890Z,35.0866667,-116.9953333,2.96,1.97,ml,22,68,0.2109,0.18,ci,ci37586239,2017-02-20T06:11:16.950Z,"21km N of Barstow, CA",earthquake,0.28,1.5,0.174,26,automatic,ci,ci
2017-02-20T05:55:52.970Z,59.9216,-139.6426,8.2,1.5,ml,,,,1.02,ak,ak15313214,2017-02-20T06:10:27.307Z,"42km N of Yakutat, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-20T05:32:45.430Z,45.9761667,-111.4695,-1.13,1.55,ml,16,67,0.251,0.23,mb,mb80199829,2017-02-20T15:47:01.550Z,"11km NE of Three Forks, Montana",earthquake,0.48,4.21,0.172,3,reviewed,mb,mb
2017-02-20T05:18:10.980Z,-21.4938,-178.8169,533.33,4.5,mb,,72,4.755,1.32,us,us20008kv2,2017-02-20T05:39:13.040Z,"94km S of Ndoi Island, Fiji",earthquake,12.1,4.2,0.052,107,reviewed,us,us
2017-02-20T05:09:54.470Z,33.7023333,-116.725,16.57,0.77,ml,30,53,0.01603,0.17,ci,ci37586223,2017-02-20T05:13:26.562Z,"4km S of Idyllwild, CA",earthquake,0.33,0.53,0.134,27,automatic,ci,ci
2017-02-20T05:03:23.520Z,33.4961667,-116.492,12.79,1.56,ml,56,41,0.06169,0.21,ci,ci37586215,2017-02-20T05:13:57.440Z,"18km ESE of Anza, CA",earthquake,0.23,0.4,0.148,27,automatic,ci,ci
2017-02-20T04:59:54.690Z,19.3696671,-155.2173309,2.88,1.78,md,20,112,0.004448,0.15,hv,hv61613531,2017-02-20T05:02:54.120Z,"7km SSE of Volcano, Hawaii",earthquake,0.44,0.25,0.4,12,automatic,hv,hv
2017-02-20T04:59:36.600Z,17.8488,-67.1102,9,2.2,Md,3,331.2,0.13564561,0.01,pr,pr17051003,2017-02-20T07:31:40.914Z,"15km SSW of La Parguera, Puerto Rico",earthquake,1.1,2.4,0,3,reviewed,pr,pr
2017-02-20T04:57:10.042Z,62.7173,-149.52,4.8,1.3,ml,,,,0.38,ak,ak15312560,2017-02-20T05:06:46.311Z,"53km NE of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T04:55:50.940Z,33.507,-116.531,14.25,0.64,ml,22,84,0.05037,0.21,ci,ci37586207,2017-02-20T04:59:32.753Z,"14km ESE of Anza, CA",earthquake,0.36,0.6,0.146,17,automatic,ci,ci
2017-02-20T04:41:13.910Z,38.8139992,-122.8141632,2.76,1.12,md,13,91,0.0128,0.03,nc,nc72765731,2017-02-20T05:00:02.868Z,"6km NW of The Geysers, California",earthquake,0.34,0.59,0.03,4,automatic,nc,nc
2017-02-20T04:38:15.738Z,65.1292,-148.6845,10,0.8,ml,,,,0.4,ak,ak15312555,2017-02-20T04:52:44.037Z,"44km NW of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T04:32:27.140Z,38.800499,-122.8616638,6.05,1.1,md,15,193,0.02672,0.08,nc,nc72765726,2017-02-20T04:48:02.852Z,"9km WNW of The Geysers, California",earthquake,0.81,1.22,0.08,6,automatic,nc,nc
2017-02-20T04:01:47.050Z,34.1353333,-118.2183333,8.46,1.31,ml,8,104,0.07007,0.2,ci,ci37586191,2017-02-20T04:05:27.629Z,"2km NW of Highland Park, CA",earthquake,0.87,2.63,0.379,15,automatic,ci,ci
2017-02-20T04:01:38.529Z,38.3871,-118.9073,7.7,0.9,ml,8,172.75,0.344,0.1475,nn,nn00579255,2017-02-20T18:10:30.101Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.7,0,2,reviewed,nn,nn
2017-02-20T03:58:22.050Z,33.9771667,-116.9585,4.57,1.17,ml,47,41,0.05858,0.17,ci,ci37586183,2017-02-20T04:01:57.505Z,"6km NNE of Beaumont, CA",earthquake,0.18,0.51,0.222,27,automatic,ci,ci
2017-02-20T03:56:48.240Z,-11.6046,166.2386,64.78,4.9,mb,,62,6.55,0.67,us,us20008kus,2017-02-20T04:27:36.040Z,"107km SSE of Lata, Solomon Islands",earthquake,3.1,6.8,0.05,127,reviewed,us,us
2017-02-20T03:47:34.267Z,38.3848,-118.9077,8.8,0.8,ml,7,173.44,0.343,0.1272,nn,nn00579253,2017-02-20T18:04:09.350Z,"29km WSW of Hawthorne, Nevada",earthquake,,7.5,0,1,reviewed,nn,nn
2017-02-20T03:45:49.500Z,19.4736,-68.7421,76,3.5,Md,12,334.8,1.61337425,0.4,pr,pr17051000,2017-02-20T05:54:41.040Z,"63km NNE of Miches, Dominican Republic",earthquake,4.9,11.4,0,10,reviewed,pr,pr
2017-02-20T03:21:20.800Z,18.9768,-64.6884,7,2.7,Md,2,342,0.87136583,0.11,pr,pr17051002,2017-02-20T07:30:15.446Z,"62km N of Road Town, British Virgin Islands",earthquake,9.2,8.9,0,2,reviewed,pr,pr
2017-02-20T03:13:32.120Z,42.5352,13.2073,10.28,4,mb,,52,0.232,0.86,us,us20008kup,2017-02-20T08:11:46.442Z,"3km WNW of Montereale, Italy",earthquake,4.9,5.5,0.13,16,reviewed,us,us
2017-02-20T02:56:16.379Z,63.5981,-147.2848,0,1.3,ml,,,,0.8,ak,ak15311894,2017-02-20T03:11:36.773Z,"86km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T02:37:00.102Z,64.9066,-148.6021,22.7,0.4,ml,,,,0.45,ak,ak15313909,2017-02-20T10:54:20.329Z,"28km WNW of Ester, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-02-20T02:35:14.610Z,38.8341675,-122.7856674,0.8,0.19,md,7,97,0.01111,0.02,nc,nc72765711,2017-02-20T02:51:04.595Z,"5km WNW of Cobb, California",earthquake,0.36,0.77,0.12,2,automatic,nc,nc
2017-02-20T02:34:35.000Z,18.8607,-68.6552,89,3.4,Md,11,190.8,0.66026173,0.33,pr,pr17051001,2017-02-20T05:12:57.484Z,"23km N of Otra Banda, Dominican Republic",earthquake,3.7,2.6,0,11,reviewed,pr,pr
2017-02-20T02:28:08.090Z,38.4038,-118.9109,8.7,1.1,ml,9,120.63,0.353,0.1913,nn,nn00579247,2017-02-20T15:50:59.713Z,"28km WSW of Hawthorne, Nevada",earthquake,,3,0.28,5,reviewed,nn,nn
2017-02-20T02:12:35.010Z,38.8364983,-122.7836685,1.31,1.36,md,16,72,0.005552,0.03,nc,nc72765706,2017-02-20T02:28:03.529Z,"5km WNW of Cobb, California",earthquake,0.22,0.35,0.2,6,automatic,nc,nc
2017-02-20T01:40:26.330Z,33.9741667,-117.1843333,0.44,1.14,ml,15,117,0.08549,0.22,ci,ci37586175,2017-02-20T01:44:07.544Z,"7km NE of Moreno Valley, CA",earthquake,0.93,31.61,0.282,25,automatic,ci,ci
2017-02-20T01:16:06.930Z,-42.7153,172.7402,17.71,4.5,mwr,,76,0.332,0.76,us,us20008kul,2017-02-20T03:37:44.040Z,"50km N of Amberley, New Zealand",earthquake,2.6,4.7,0.058,29,reviewed,us,us
2017-02-20T01:10:26.210Z,33.7863333,-115.7105,9.75,1.33,ml,20,100,0.2509,0.16,ci,ci37586167,2017-02-20T01:14:09.493Z,"30km WNW of Desert Center, CA",earthquake,0.43,1.13,0.171,23,automatic,ci,ci
2017-02-20T01:07:22.883Z,61.6921,-148.2236,1.3,1.1,ml,,,,0.37,ak,ak15311887,2017-02-20T01:16:07.694Z,"35km ESE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T00:34:37.335Z,59.9584,-151.8527,72.9,1.4,ml,,,,0.36,ak,ak15311882,2017-02-20T00:46:01.146Z,"20km N of Anchor Point, Alaska",earthquake,,2.2,,,automatic,ak,ak
2017-02-20T00:34:01.922Z,64.9833,-147.3014,2.9,1.5,ml,,,,0.7,ak,ak15311879,2017-02-20T00:51:19.417Z,"23km NNE of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-20T00:22:38.552Z,60.0322,-152.7774,90.7,1.9,ml,,,,0.78,ak,ak15311872,2017-02-20T00:35:55.311Z,"50km S of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
